	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
7957	7vnd	3.6	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	10/10/21					Yang, Z., Wang, Y., Kong, Y., Jin, Y., Wu, Y., Ying, T.	7vnd_0
7958	7vnc	3.7	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	10/10/21					Yang, Z., Wang, Y., Kong, Y., Jin, Y., Wu, Y., Ying, T.	7vnc_0
7959	5mi0	2.35	X-RAY DIFFRACTION	PLASMODIUM FALCIPARUM; MUS MUSCULUS	11/27/16					Campeotto, I., Goldenzweig, A., Davey, J., Barfod, L., Marshall, J.M., Silk, S.E., Wright, K.E., Draper, S.J., Higgins, M.K., Fleishman, S.J.	5mi0_0
7960	7r74	2.76	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; LAMA GLAMA	06/24/21					Zhou, T., Kwong, P.D.	7r74_1
7961	5x0t	2.5	X-RAY DIFFRACTION	MUS MUSCULUS; HOMO SAPIENS	01/23/17					Lin, P., Zhang, M.-Y., Ye, S., Chen, X., Yu, X.-L., Zhang, R.-G., Zhu, P., Chen, Z.-N.	5x0t_0
7962	7pnq	3.7	ELECTRON MICROSCOPY	HOMO SAPIENS; HUMAN CORONAVIRUS OC43	09/07/21					Hurdiss, D.L.	7pnq_1
7963	8tzu	2.9	X-RAY DIFFRACTION	Human coronavirus OC43; Vicugna pacos	05/01/24					Pymm, P., Feng, J., Tham, W.H.	8tzu_4
7964	8tzu	2.9	X-RAY DIFFRACTION	Human coronavirus OC43; Vicugna pacos	05/01/24					Pymm, P., Feng, J., Tham, W.H.	8tzu_0
7965	8tzu	2.9	X-RAY DIFFRACTION	Human coronavirus OC43; Vicugna pacos	05/01/24					Pymm, P., Feng, J., Tham, W.H.	8tzu_1
7966	8tzu	2.9	X-RAY DIFFRACTION	Human coronavirus OC43; Vicugna pacos	05/01/24					Pymm, P., Feng, J., Tham, W.H.	8tzu_2
7967	8tzu	2.9	X-RAY DIFFRACTION	Human coronavirus OC43; Vicugna pacos	05/01/24					Pymm, P., Feng, J., Tham, W.H.	8tzu_3
7968	7lk4	3.1	X-RAY DIFFRACTION	HOMO SAPIENS; RATTUS NORVEGICUS	02/01/21					Robin, Y.A., Colman, P.M.	7lk4_1
